Label,PRESSURE_ZONE,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,shallow_main,Condition_score,OVERSIZED,CLEANED,Shape__Length,Installation_Month,Installation_Year,Break_Time
0,KIT 6,TREATED,450,PVC,NO,NONE,DONATED,DUAL CITY AND REGION,N,7,6,36,N,N,9.35,N,Y,109.322784448271,6,1995,29.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,0,1,29,N,N,9.35,N,N,3.30126385493788,6,2001,23.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,5,2,N,N,9.35,N,N,14.4669884865698,8,2008,16.0
1,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,5,5,2,N,N,5.75,N,N,106.418019880269,8,2008,-8.0
0,KIT 5,TREATED,200,PVC,NO,NONE,PURCHASED,REGION,N,0,6,32,N,N,9.35,N,Y,5.2165125433256,6,2001,23.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,0,2,7,N,N,9.35,N,N,2.23449819395288,6,2004,20.0
0,KIT 4,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,8,4,31,N,N,9.35,N,Y,311.355993429583,6,2003,21.0
0,KIT 5,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,24,N,N,9.35,N,Y,69.4029278431169,6,2005,19.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,1,7,N,N,9.1,N,N,18.1347009678912,6,1991,33.0
0,KIT 5,TREATED,50,PVC,NO,NONE,DONATED,KITCHENER,N,5,6,44,N,N,9.35,N,Y,6.43947285079689,6,2006,18.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,4,29,N,N,9.1,N,Y,131.925736775972,6,1991,33.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,10.4512270898105,6,1991,33.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,4,29,N,N,9.1,N,Y,110.363992161933,6,1991,33.0
