,PIPE_DIAMETER,PIPE_LENGTH,Age,PRESSURE_ZONE_BRESLAU,PRESSURE_ZONE_BRIDGEPORT,PRESSURE_ZONE_KIT 2E,PRESSURE_ZONE_KIT 2EA,PRESSURE_ZONE_KIT 2W,PRESSURE_ZONE_KIT 4,PRESSURE_ZONE_KIT 4A,PRESSURE_ZONE_KIT 5,PRESSURE_ZONE_KIT 6,PRESSURE_ZONE_MANNHEIM,PRESSURE_ZONE_RAW NO ZONE,PRESSURE_ZONE_WAT 4,MATERIAL_AC,MATERIAL_CI,MATERIAL_COP,MATERIAL_CPP,MATERIAL_DI,MATERIAL_HDPE,MATERIAL_PVC,MATERIAL_PVCB,MATERIAL_PVCF,MATERIAL_PVCO,MATERIAL_ST,Predicted condition,Label
208,-0.7019460135237814,1.4927400171047462,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.052500000000006,1
746,-0.7019460135237814,-0.45391040553420536,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7000000000000135,0
2259,-0.2503401716684642,-0.04458936931607476,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.223,0
507,-0.7019460135237814,0.094141238850328,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9895000000000085,1
585,-0.2503401716684642,0.5226143480185309,0.8378055168314444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.371500000000001,0
2411,-0.7019460135237814,0.8087653980259836,1.2023593714248644,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.547,1
2174,2.0076890376081216,0.15313282482821935,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.547000000000009,0
1390,3.362506563174073,-0.4564778394700393,0.8833747486556219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.460799999999999,0
2018,0.6528715120421702,1.0490922984209294,0.5643901258863796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.468,0
1000,-0.7019460135237814,0.058747938682866534,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.774000000000008,0
1672,-0.7019460135237814,1.9403856241445856,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.904999999999997,1
783,0.6528715120421702,-0.4625135291374061,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9736,0
1360,-0.7019460135237814,1.8140154242081703,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9310000000000063,1
88,0.6528715120421702,0.6785752270800536,0.7010978213589121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9995,0
25,-0.7019460135237814,0.316104169984933,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.361999999999997,1
